candidate_id,family,definition_sha256,horizon_bars,trade_rows,trade_ledger_sha256
R1B04_london_open_07_09_breakout,session_range_breakout,03810bab04f6e72ce3ed1ec56b594b7646418719603dfa3f7caf8d948d38cb63,32,140,f4e77ca30e62d9ab2ee9c2ffa55861d9f59ceb96f041f8c09cf0b88227c1a304
R1B04_london_open_07_09_breakout,session_range_breakout,03810bab04f6e72ce3ed1ec56b594b7646418719603dfa3f7caf8d948d38cb63,48,136,322973ff3da7568a95f9f0cf82d3999702fb0850e0f5b3b119830feb064dbcc6
R1B05_london_morning_07_13_breakout,session_range_breakout,8236982989cc19645e1a19b28b01cfe90099e4c67d509de02df1c8645641391e,1,108,7d62fc86efe4494aafd8637d4c977ba1d1fb129b0fd0cd47760cf3b4c467fc3f
R1B05_london_morning_07_13_breakout,session_range_breakout,8236982989cc19645e1a19b28b01cfe90099e4c67d509de02df1c8645641391e,2,108,6710d5c08721f37dc0fb22dfa1003fa8f75ffd9adc4f1ba80378d3393e7f8019
R1B05_london_morning_07_13_breakout,session_range_breakout,8236982989cc19645e1a19b28b01cfe90099e4c67d509de02df1c8645641391e,3,108,949ea8e0ddd3085372d600c2b495eaaa64c117c66752c6429e1616db3febd8f2
R1B05_london_morning_07_13_breakout,session_range_breakout,8236982989cc19645e1a19b28b01cfe90099e4c67d509de02df1c8645641391e,4,108,1ae5fd6d27391318e9a0fb380e610137adf9c787f813c9b7d901447467fb3714
R1B05_london_morning_07_13_breakout,session_range_breakout,8236982989cc19645e1a19b28b01cfe90099e4c67d509de02df1c8645641391e,6,108,55f7ab491a4800cda19038f73a44cd17fff4f2922fe9c61812170f4b854df9c6
R1B05_london_morning_07_13_breakout,session_range_breakout,8236982989cc19645e1a19b28b01cfe90099e4c67d509de02df1c8645641391e,8,108,3b9c6ce6ced054bf51c8e534f5bc06f9c579eb61f933e68c8010a206eebbbc1b
R1B05_london_morning_07_13_breakout,session_range_breakout,8236982989cc19645e1a19b28b01cfe90099e4c67d509de02df1c8645641391e,12,108,51fac56d03297d6d06af8b38fe84226750ede6037de482108485ab12d7762c2b
R1B05_london_morning_07_13_breakout,session_range_breakout,8236982989cc19645e1a19b28b01cfe90099e4c67d509de02df1c8645641391e,16,108,621d7a06126832a1b42a56a226ce919a68d48478ade8cafc14970612740fa736
R1B05_london_morning_07_13_breakout,session_range_breakout,8236982989cc19645e1a19b28b01cfe90099e4c67d509de02df1c8645641391e,24,108,9034629885cba9aaaab75de099766c5f0a6a5ef7194284450f466812c373b051
R1B05_london_morning_07_13_breakout,session_range_breakout,8236982989cc19645e1a19b28b01cfe90099e4c67d509de02df1c8645641391e,32,106,97ca4257f42530e8a29bc66f4aa2760523bf423ef8784b5576ab54769061bbe7
R1B05_london_morning_07_13_breakout,session_range_breakout,8236982989cc19645e1a19b28b01cfe90099e4c67d509de02df1c8645641391e,48,102,51091f53e990ac4825f780e3458e8d14967d1419925c5420d0b908fed6b0ee6f
R1C01_legacy_failed_12bar,failed_excursion_reversion,8816c326250871e2711da0ddf46da1f5d7c2c3d37426457c8738a75be35267c1,1,810,c6969d6c716fed10a7933c2fd6617d9fc7ee913850c0861a84134e265b9a4cfb
R1C01_legacy_failed_12bar,failed_excursion_reversion,8816c326250871e2711da0ddf46da1f5d7c2c3d37426457c8738a75be35267c1,2,810,336bcd675c8edf940039f41f1fdca8987434e8bd7625ccafc9ca138aa4c43af1
R1C01_legacy_failed_12bar,failed_excursion_reversion,8816c326250871e2711da0ddf46da1f5d7c2c3d37426457c8738a75be35267c1,3,810,0f6a99133f8b34f3eded3575b5eccc3c6cb22f9ec7bf63ca15dc663bb4599091
R1C01_legacy_failed_12bar,failed_excursion_reversion,8816c326250871e2711da0ddf46da1f5d7c2c3d37426457c8738a75be35267c1,4,810,9d21d8f014e17e309ba1976c23d95d61761a0a66b94a59511ccd526d55e230c7
R1C01_legacy_failed_12bar,failed_excursion_reversion,8816c326250871e2711da0ddf46da1f5d7c2c3d37426457c8738a75be35267c1,6,810,b48f1413c78d74bfc6be820017f133a0c7e63ff0aa54811d65273e6ce750a512
R1C01_legacy_failed_12bar,failed_excursion_reversion,8816c326250871e2711da0ddf46da1f5d7c2c3d37426457c8738a75be35267c1,8,810,d6e9ee6f91481192e77fe2eba13bc34becd70dc56ac785ca00a6860ca950d1b1
